Name,Core Values,Organisations,How We Support It,Why We Support It,SDGs,Description,Committed to,CSR
Race to Zero,"Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",Race to Zero (https://www.notion.so/Race-to-Zero-10ad6625c6798061900ae2dc2b6ab32c?pvs=21),"The ""Race to Zero"" initiative supports the transition to net-zero greenhouse gas emissions through a series of pledges and actions that organizations can take. These include committing to ambitious targets for reducing emissions, protecting nature, and ensuring that the transition is just and equitable. Participants are encouraged to create transition plans, immediately act on their commitments, publish progress reports, and advocate for policies that align with the goal of limiting global warming to 1.5°C. The initiative emphasizes collaboration and accountability, urging organizations to empower stakeholders and contribute to global efforts beyond their immediate operations.","We support the Race to Zero initiative because it aligns with our commitment to achieving net-zero greenhouse gas emissions by 2050, which is essential for limiting global warming to 1.5°C. This initiative emphasizes the importance of setting ambitious interim targets, protecting biodiversity, and ensuring a just transition for communities affected by climate change. By participating, we can contribute to significant emissions reductions, promote sustainable practices, and empower stakeholders in our ecosystem, thereby fostering a collective effort towards a more sustainable and equitable future.","SDG 12 - Responsible Consumption and Production (https://www.notion.so/SDG-12-Responsible-Consumption-and-Production-a1af83b5e5b7482999be10084f61927c?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21), SDG 11 - Sustainable Cities and Communities (https://www.notion.so/SDG-11-Sustainable-Cities-and-Communities-17fa5cdabac4430189085f5ccb443520?pvs=21), SDG 17 - Partnerships for the Goals (https://www.notion.so/SDG-17-Partnerships-for-the-Goals-1ebc9e2a75f94c97a28420419d084104?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21), SDG 08 - Decent Work and Economic Growth (https://www.notion.so/SDG-08-Decent-Work-and-Economic-Growth-8f9f9442810b42ce90273bebe3da1486?pvs=21)",No content,"Plan  – within 12 months of joining, publicly disclose a transition plan which sets out how your organisation will deliver your 2030 carbon targets (https://www.notion.so/Plan-within-12-months-of-joining-publicly-disclose-a-transition-plan-which-sets-out-how-your-org-1e7d6625c679800bac4bc71517241fdc?pvs=21), Process – you need to be taking fast action to meet your carbon targets (your targets should cover scopes 1, 2 and 3 emissions). (https://www.notion.so/Process-you-need-to-be-taking-fast-action-to-meet-your-carbon-targets-your-targets-should-cover-s-1e7d6625c6798072b73afd86b00afb78?pvs=21), Persuade – within 12 months of joining, align external policy and engagement including association membership to the goal of halving emissions by 2030 and net zero by 2050. This includes proactively supporting climate policies at the subnational and national level consistent with the Race to Zero criteria (https://www.notion.so/Persuade-within-12-months-of-joining-align-external-policy-and-engagement-including-association-m-1e7d6625c67980efbd81fd876ae50111?pvs=21)",
SDG18,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",Space Renaissance International (https://www.notion.so/Space-Renaissance-International-21cd6625c67981aba8cbe6f4f3f02124?pvs=21),"We support SDG18 by advocating for policies that promote the sustainable development of space communities. This includes engaging with stakeholders, conducting research on the implications of space colonization, and raising public awareness about the importance of expanding life into space to achieve the existing Sustainable Development Goals (SDGs) on Earth. Additionally, we collaborate with international space organizations to ensure that space exploration and development are conducted responsibly and sustainably.","We support the Space 18th Sustainable Development Goal (SDG) because it represents a critical step towards ensuring the long-term sustainability of life on Earth and beyond. By advocating for the expansion of human presence into space, we can address pressing challenges such as resource scarcity, climate change, and the need for innovation in sustainability practices. This initiative aligns with our commitment to achieving the existing 17 SDGs and promotes a future where humanity can thrive in harmony with its environment, both on our planet and in outer space.","Baseline (https://www.notion.so/Baseline-b8d6455fa2db4c52b62824a20810f517?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21)","Only by expanding the domain of life into space can we fulfill the 17 SDGs on Earth in the long term. Therefore, the Space Renaissance International and the National Space Society, in partnership with many other space organizations, urge UN COPUOS State Parties to develop and introduce a resolution for a Space 18th Sustainable Development Goal (SDG), calling for the expansion of community life into space to achieve universal and sustainable development for the whole humanity, life, and the life support environment, on Earth and beyond.”","Supporting a resolution for a Space 18th Sustainable Development Goal (SDG), calling for the expansion of community life into space to achieve universal and sustainable development for the whole humanity, life, and the life support environment, on Earth and beyond (https://www.notion.so/Supporting-a-resolution-for-a-Space-18th-Sustainable-Development-Goal-SDG-calling-for-the-expansi-1cdd6625c67980ea8c53f317a6664760?pvs=21)",
SME Climate Hub,"Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21)",SME Climate Hub (https://www.notion.so/SME-Climate-Hub-10ad6625c67980498e7fd38bad96f45b?pvs=21),"We support the SME Climate Hub by providing resources, tools, and guidance to help small and medium-sized enterprises (SMEs) transition towards sustainable practices. This includes access to climate action frameworks, networking opportunities with like-minded businesses, and educational materials to enhance their understanding of environmental responsibilities.","We support the SME Climate Hub because it provides valuable resources and guidance for small and medium-sized enterprises (SMEs) to take actionable steps towards sustainability. By fostering a community of committed businesses, it helps drive collective action in combating climate change and promotes best practices for reducing carbon footprints.",SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21),No content,"Halve our greenhouse gas emissions before 2030 (https://www.notion.so/Halve-our-greenhouse-gas-emissions-before-2030-1cdd6625c6798031b1e1e82a3b618dbf?pvs=21), Achieve net zero emissions before 2050 (https://www.notion.so/Achieve-net-zero-emissions-before-2050-1cdd6625c679802fac36c88a77ec27f2?pvs=21), Disclose our progress on a yearly basis (https://www.notion.so/Disclose-our-progress-on-a-yearly-basis-1cdd6625c67980638956da88e17e6b40?pvs=21)",
Space Safety Coalition,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",Space Safety Coalition (https://www.notion.so/Space-Safety-Coalition-21cd6625c67981d49ab2dd978e5d361d?pvs=21),"We support the Space Safety Coalition by promoting collaboration among space agencies, sharing best practices for safety protocols, and advocating for comprehensive regulations that protect both space assets and the environment. Through workshops, research initiatives, and outreach programs, we aim to enhance awareness of space safety challenges and solutions within the global space community.","We support the Space Safety Coalition because it aims to enhance the safety and sustainability of space operations. By fostering collaboration among various stakeholders, including governments, industry, and academia, the coalition seeks to address the growing challenges in space traffic management, debris mitigation, and overall space environment preservation. This initiative not only safeguards current space assets but also ensures a secure and accessible space environment for future generations.",,,,
Statement for a Responsible Space Sector,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",ESA - European Space Agency (https://www.notion.so/ESA-European-Space-Agency-21ed6625c679801cb240e1b9ce47e308?pvs=21),"We support a responsible space sector by prioritizing sustainable practices, fostering international cooperation, and ensuring compliance with space law and regulations. Our commitment includes promoting transparency in operations and engaging with various stakeholders to address challenges in space exploration and utilization.","We support the establishment of a responsible space sector because it ensures sustainable use of outer space, promotes international collaboration, and safeguards the rights of future generations to access and benefit from space resources. A responsible approach can help mitigate space debris issues, enhance safety during space operations, and protect the space environment for scientific exploration and commercial activities.",,,,
Sustainable Procurement Pledge (SPP),"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",,"To support the Sustainable Procurement Pledge (SPP), we commit to fostering responsible, inclusive, and cooperative procurement behaviors in our day-to-day business conduct. We focus on standing up for people and the planet by addressing environmental and social challenges, promoting ethical practices, and eliminating exploitation and injustice in supply chains. We encourage collaboration, personal growth, knowledge sharing, and leaving a positive legacy. By signing the pledge, we join a community dedicated to driving meaningful change.","We support the Sustainable Procurement Pledge (SPP) because it emphasizes the importance of responsible, inclusive, and cooperative procurement practices. By committing to values that prioritize the well-being of people and the planet, we can collectively address critical environmental and social challenges. The pledge encourages us to take personal responsibility, share knowledge, and create a positive legacy, ultimately driving meaningful change in supply chains and promoting ethical business conduct.",,,"#02: Together we will change the world. (https://www.notion.so/02-Together-we-will-change-the-world-1e7d6625c6798087b444e2fa819b2623?pvs=21), #01: Standing up for people and our planet. (https://www.notion.so/01-Standing-up-for-people-and-our-planet-1e7d6625c67980f488e0eb38f4bba131?pvs=21), #05: Leaving the right Legacy (https://www.notion.so/05-Leaving-the-right-Legacy-1e7d6625c67980778739e91161e749ef?pvs=21), #04: Sharing my knowledge and listening to others (https://www.notion.so/04-Sharing-my-knowledge-and-listening-to-others-1e7d6625c679809f96cfe52dce8a41ba?pvs=21), #03: Starting with myself (https://www.notion.so/03-Starting-with-myself-1e7d6625c67980ed9a28f00a167cc71c?pvs=21)",Ethical Responsibility (https://www.notion.so/Ethical-Responsibility-1d6d6625c6798008b5f4d089561122af?pvs=21)
Sustainable Web Manifesto,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21)",Sustainable Web Manifesto (https://www.notion.so/Sustainable-Web-Manifesto-10ad6625c6798004904cefbe5eac7dcd?pvs=21),"We support the Sustainable Web Manifesto by advocating for practices that prioritize sustainability in web development. This includes using energy-efficient hosting, optimizing website performance to reduce carbon footprints, and promoting transparency in our processes. Additionally, we commit to continuous learning and improvement in sustainable web practices, collaborating with others in the industry to create a positive impact on the environment.","We support the Sustainable Web Manifesto because it promotes environmentally responsible web practices that aim to reduce the carbon footprint of online activities. By adhering to its principles, we can contribute to a more sustainable future, ensuring that digital solutions are not only innovative but also mindful of their impact on the planet. Supporting this manifesto aligns with our commitment to sustainability and responsible design.","SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21), SDG 12 - Responsible Consumption and Production (https://www.notion.so/SDG-12-Responsible-Consumption-and-Production-a1af83b5e5b7482999be10084f61927c?pvs=21), SDG 07 - Affordable and Clean Energy (https://www.notion.so/SDG-07-Affordable-and-Clean-Energy-dbd5f73456e14897b180510f9512babb?pvs=21), SDG 11 - Sustainable Cities and Communities (https://www.notion.so/SDG-11-Sustainable-Cities-and-Communities-17fa5cdabac4430189085f5ccb443520?pvs=21)",No content,"The services we provide and services we use will be powered by renewable energy. (https://www.notion.so/The-services-we-provide-and-services-we-use-will-be-powered-by-renewable-energy-1cdd6625c679801fa40dd695229f5f04?pvs=21), The products and services we provide will use the least amount of energy and material resources possible. (https://www.notion.so/The-products-and-services-we-provide-will-use-the-least-amount-of-energy-and-material-resources-poss-1cdd6625c67980528da9c1e6f614c843?pvs=21), The products and services we provide will be accessible, allow for the open exchange of information, and allow users to control their data. (https://www.notion.so/The-products-and-services-we-provide-will-be-accessible-allow-for-the-open-exchange-of-information--1cdd6625c67980d794bffa3cde43e46c?pvs=21), The products and services we provide will not mislead or exploit users in their design or content. (https://www.notion.so/The-products-and-services-we-provide-will-not-mislead-or-exploit-users-in-their-design-or-content-1cdd6625c679808cb0ebd906b866ee3f?pvs=21), The products and services we provide will support an economy that nourishes people and planet. (https://www.notion.so/The-products-and-services-we-provide-will-support-an-economy-that-nourishes-people-and-planet-1cdd6625c6798032a296e043c993f48d?pvs=21), The products and services we provide will function in the times and places where people need them most (https://www.notion.so/The-products-and-services-we-provide-will-function-in-the-times-and-places-where-people-need-them-mo-1cdd6625c67980e29c29e3e75891add5?pvs=21)",
"Tech Net Zero ","Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21)",techUK (https://www.notion.so/techUK-21cd6625c679814eae16d95b9977e7b1?pvs=21),"We support Tech Net Zero by providing resources and tools that help tech companies measure their carbon footprint, implement sustainable practices, and share best practices for reducing environmental impact. Additionally, we facilitate collaboration among members to promote innovative solutions and advocate for policies that support climate action.","We support Tech Net Zero because it brings together tech companies to collaboratively address the climate crisis. By uniting resources, knowledge, and innovations, we can accelerate our efforts towards achieving net zero emissions. This initiative not only promotes sustainability in the tech industry but also sets a precedent for other sectors to follow, demonstrating the power of collective action in tackling global challenges.","SDG 17 - Partnerships for the Goals (https://www.notion.so/SDG-17-Partnerships-for-the-Goals-1ebc9e2a75f94c97a28420419d084104?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21), SDG 11 - Sustainable Cities and Communities (https://www.notion.so/SDG-11-Sustainable-Cities-and-Communities-17fa5cdabac4430189085f5ccb443520?pvs=21), SDG 08 - Decent Work and Economic Growth (https://www.notion.so/SDG-08-Decent-Work-and-Economic-Growth-8f9f9442810b42ce90273bebe3da1486?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21)","The climate action group for tech companies of all sizes committed to fighting the climate crisis. We believe that by joining forces, we can make faster progress to net zero.","Annually measure and publish their total greenhouse gas emissions. (https://www.notion.so/Annually-measure-and-publish-their-total-greenhouse-gas-emissions-1cdd6625c67980e99af0c070e2a46b3d?pvs=21), Publicly publish a net zero plan within 12 months of joining. (https://www.notion.so/Publicly-publish-a-net-zero-plan-within-12-months-of-joining-1cdd6625c6798055ab3dcff525cc8d3d?pvs=21), Appoint a member of their executive team to be responsible and accountable for their net zero target. (https://www.notion.so/Appoint-a-member-of-their-executive-team-to-be-responsible-and-accountable-for-their-net-zero-target-1cdd6625c67980868bd6c70af7bb98e5?pvs=21), Publicly their communicate climate commitments and progress to net zero. (https://www.notion.so/Publicly-their-communicate-climate-commitments-and-progress-to-net-zero-1cdd6625c67980258361d2244c24872a?pvs=21), Align their policies and partnerships to their net zero goals. (https://www.notion.so/Align-their-policies-and-partnerships-to-their-net-zero-goals-1cdd6625c67980db980ee4100706ddd6?pvs=21)",
Tech Talent Charter,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Continuous Improvement (https://www.notion.so/Continuous-Improvement-1d1d6625c67980ccb087ce9d21f124a7?pvs=21)",techUK (https://www.notion.so/techUK-21cd6625c679814eae16d95b9977e7b1?pvs=21),"We support the Tech Talent Charter by actively promoting diversity and inclusion within the tech industry. This includes initiatives such as partnering with educational institutions, providing mentorship programs, and hosting workshops to empower underrepresented groups in technology.","We support the Tech Talent Charter because it fosters diversity and inclusion within the tech industry. By collaborating with organizations committed to increasing representation and supporting underrepresented groups, we can create a more equitable workforce that drives innovation and reflects the diverse communities we serve.","SDG 05 - Gender Equality (https://www.notion.so/SDG-05-Gender-Equality-7b20a2232f1040e683fd5f0b8d19548c?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21)",,,
The Ethical Move,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",The Ethical Move (https://www.notion.so/The-Ethical-Move-21bd6625c6798192bf30e6e5d9ddd3ce?pvs=21),"We support the Ethical Move by promoting sustainable practices, encouraging transparency in business operations, and fostering collaborations that align with the Sustainable Development Goals (SDGs). Through our initiatives, we engage communities and organizations to adopt ethical frameworks that prioritize environmental and social responsibility.","We support The Ethical Move because it promotes transparency and accountability in the design and development of products and services. By aligning with the Sustainable Development Goals (SDGs) and core values that prioritize ethical considerations, we can contribute to a more sustainable and equitable future. Supporting this initiative encourages responsible practices and inspires others in the industry to adopt similar commitments.","SDG 17 - Partnerships for the Goals (https://www.notion.so/SDG-17-Partnerships-for-the-Goals-1ebc9e2a75f94c97a28420419d084104?pvs=21), SDG 12 - Responsible Consumption and Production (https://www.notion.so/SDG-12-Responsible-Consumption-and-Production-a1af83b5e5b7482999be10084f61927c?pvs=21), SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21), SDG 06 - Clean Water and Sanitation (https://www.notion.so/SDG-06-Clean-Water-and-Sanitation-48196b1c212e4ea1b0aecd40b6859db5?pvs=21)",No content,"We put the person before the sale. (https://www.notion.so/We-put-the-person-before-the-sale-1ccd6625c679806faffddf2f98a92750?pvs=21), We communicate inclusively, truthfully, and clearly. (https://www.notion.so/We-communicate-inclusively-truthfully-and-clearly-1ccd6625c679805ea652c1353b73b782?pvs=21), We take responsibility for our part in changing the marketplace. (https://www.notion.so/We-take-responsibility-for-our-part-in-changing-the-marketplace-1ccd6625c6798076830fc03c6a5786c1?pvs=21)",
The Sustainable Creatives Charter,"Continuous Improvement (https://www.notion.so/Continuous-Improvement-1d1d6625c67980ccb087ce9d21f124a7?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21)",The Sustainable Creatives Charter (https://www.notion.so/The-Sustainable-Creatives-Charter-10ad6625c679804c8e35c831729fd8a3?pvs=21),"We support the Sustainable Creatives Charter by promoting sustainable practices within our projects, collaborating with like-minded individuals and organizations, and actively engaging in transparency and accountability regarding our sustainability goals. We encourage creativity that prioritizes environmental responsibility and community impact, ensuring that our actions align with the core values outlined in the charter.","We support the Sustainable Creatives Charter because it promotes responsible and ethical practices within the creative industry. By committing to sustainability, we can make a positive impact on the environment and society. The charter encourages transparency, collaboration, and innovation, empowering creatives to lead by example and inspire others. Supporting this initiative aligns with our values and goals of fostering a more sustainable future for all.",SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21),No content,"Create clean (https://www.notion.so/Create-clean-1cdd6625c67980be94b8d8dbb918bc1c?pvs=21), Declare and share (https://www.notion.so/Declare-and-share-1cdd6625c67980ce9a5ccecf4c0f4367?pvs=21), Lead by example (https://www.notion.so/Lead-by-example-1cdd6625c67980bca692d5ccb48e83d8?pvs=21), Be human (https://www.notion.so/Be-human-1cdd6625c6798062856ded738acaa0fd?pvs=21), Start now, be bold! (https://www.notion.so/Start-now-be-bold-1cdd6625c67980b1a8e5fdaf544af8c1?pvs=21)",
Unashamedly Ethical,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",Unashamedly Ethical (https://www.notion.so/Unashamedly-Ethical-21cd6625c679813cb093d6876fc486d3?pvs=21),"We support the Unashamedly Ethical initiative by promoting ethical business practices, encouraging transparency, and fostering a culture of accountability within organizations. Our commitment includes raising awareness about the Sustainable Development Goals (SDGs) and aligning our core values with ethical standards to create a positive impact in the community.","We support Unashamedly Ethical because it promotes integrity, accountability, and ethical behavior in both personal and professional spheres. By aligning with the Sustainable Development Goals (SDGs) and core values, we contribute to a more ethical society that prioritizes responsible actions and transparency.","SDG 07 - Affordable and Clean Energy (https://www.notion.so/SDG-07-Affordable-and-Clean-Energy-dbd5f73456e14897b180510f9512babb?pvs=21), SDG 16 - Peace, Justice and Strong Institutions (https://www.notion.so/SDG-16-Peace-Justice-and-Strong-Institutions-24522da63344404ebf463878a7ec4e0f?pvs=21)",No content,"To be honest and ethical in all our dealings.  (https://www.notion.so/To-be-honest-and-ethical-in-all-our-dealings-1cdd6625c67980309b19f596ab0fa271?pvs=21), To provide efficient, economic and effective products and services in an impartial manner.  (https://www.notion.so/To-provide-efficient-economic-and-effective-products-and-services-in-an-impartial-manner-1cdd6625c6798069b215d102fc31a3c0?pvs=21), to provide all stakeholders with timely, accessible and accurate information.  (https://www.notion.so/to-provide-all-stakeholders-with-timely-accessible-and-accurate-information-1cdd6625c67980119dadd0eb742be60e?pvs=21), To refuse to elicit, accept or pay any bribes and to encourage others to do the same.  (https://www.notion.so/To-refuse-to-elicit-accept-or-pay-any-bribes-and-to-encourage-others-to-do-the-same-1cdd6625c679807a92f8e200cc398dab?pvs=21), to negotiate all contracts with the utmost integrity.  (https://www.notion.so/to-negotiate-all-contracts-with-the-utmost-integrity-1cdd6625c67980d9a48feaf755d92519?pvs=21),  to pay taxes and to honour all our creditors.  (https://www.notion.so/to-pay-taxes-and-to-honour-all-our-creditors-1cdd6625c6798006bcd7df6911a49567?pvs=21), to pay reasonable salaries and wages.  (https://www.notion.so/to-pay-reasonable-salaries-and-wages-1cdd6625c6798091b6bce711265ad293?pvs=21),  to submit ourselves to just and ethical governing authorities.  (https://www.notion.so/to-submit-ourselves-to-just-and-ethical-governing-authorities-1cdd6625c67980b683d9e4d4b3d62617?pvs=21), to remember the poor by investing generously and sacrificially in the broader community.  (https://www.notion.so/to-remember-the-poor-by-investing-generously-and-sacrificially-in-the-broader-community-1cdd6625c67980809ee7c0cbbf3517aa?pvs=21), to collaborate with our peers to impact our community and nation. (https://www.notion.so/to-collaborate-with-our-peers-to-impact-our-community-and-nation-1cdd6625c679803abb0aff099a8ac39d?pvs=21)",
We Declare a Climate Emergency,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",,"We support the declaration of a climate emergency by actively promoting awareness, advocating for policy changes, and implementing sustainable practices in our operations. Our commitment includes reducing carbon emissions, investing in renewable energy, and engaging with communities to foster a collective response to the climate crisis. Together, we aim to inspire action and drive change towards a sustainable future.","We support declaring a climate emergency because it emphasizes the urgent need for immediate action to combat climate change. This declaration serves as a rallying cry for governments, organizations, and individuals to recognize the severity of the crisis and to implement the necessary measures to reduce carbon emissions, protect ecosystems, and ensure a sustainable future for generations to come. It aligns with our core values of responsibility towards the planet and prioritizing the health of our environment.",,No content,,
Zero Debris Charter,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",ESA - European Space Agency (https://www.notion.so/ESA-European-Space-Agency-21ed6625c679801cb240e1b9ce47e308?pvs=21),"We support the Zero Debris Charter by implementing sustainable waste management practices, engaging in community education about litter reduction, and collaborating with local organizations to promote clean-up initiatives. Our commitment includes regular assessments of waste reduction efforts and encouraging volunteer participation in environmental conservation activities.","We support the Zero Debris Charter because it promotes sustainable practices and aims to reduce waste in our environments. By adopting this charter, we can contribute to cleaner oceans, protect wildlife, and ensure a healthier planet for future generations. Additionally, it encourages collaboration among various stakeholders to implement effective waste management solutions and create a positive impact on our communities.",,,,